segment,time_sec,corr_score,detect_index,significant_peak_count,peaks
0,0.0,0.08742442644508651,13185,0,
1,0.02,0.07530998976042393,15701,0,
2,0.04,0.0800007254402123,29752,0,
3,0.06,0.08231943853784869,7140,0,
4,0.08,0.07811262254091604,34121,0,
5,0.1,0.07993270868795029,9450,0,
6,0.12,0.08825685159475395,9299,0,
7,0.14,0.07115230553251778,33996,0,
8,0.16,0.07531688867977485,18992,0,
9,0.18,0.08053813979060105,1220,0,
10,0.2,0.07896979045513045,372,0,
11,0.22,0.0867168272741849,11649,0,
12,0.24,0.07667141885363228,3607,0,
13,0.26,0.08067319181798295,35595,0,
14,0.28,0.07479192542165286,11007,0,
15,0.3,0.08493181619267427,20913,0,
16,0.32,0.07403921456220343,1716,0,
17,0.34,0.07731053747265905,12078,0,
18,0.36,0.07758987057518019,6065,0,
19,0.38,0.08383637941005065,28499,0,
20,0.4,0.08988061368297812,31629,0,
21,0.42,0.0758933605047053,1275,0,
22,0.44,0.07757724487768436,30442,0,
23,0.46,0.07234230414553251,22155,0,
24,0.48,0.0883742072896002,8481,0,
25,0.5,0.0847850665570802,25071,0,
26,0.52,0.07732783641341755,37187,0,
27,0.54,0.0852454946596104,25281,0,
28,0.56,0.08015136320684368,36661,0,
29,0.58,0.08205260993930531,12726,0,
30,0.6,0.079443621603897,36718,0,
31,0.62,0.08586835928340093,11392,0,
32,0.64,0.07955882406474693,8916,0,
33,0.66,0.0793501638727329,33998,0,
34,0.68,0.07727371386561571,20359,0,
35,0.7,0.08221340763245925,35264,0,
36,0.72,0.07737276114911329,24859,0,
37,0.74,0.07638164017455844,19754,0,
38,0.76,0.07514448049109285,31114,0,
39,0.78,0.08238136081708083,29938,0,
40,0.8,0.08570500850367424,7089,0,
41,0.82,0.08459468732100266,19755,0,
42,0.84,0.08116486074274475,3175,0,
43,0.86,0.07476422349988751,30970,0,
44,0.88,0.07528027203833652,30232,0,
45,0.9,0.08131752185530844,37962,0,
46,0.92,0.07745084977803958,20483,0,
47,0.94,0.07810182350068982,6595,0,
48,0.96,0.08651275771833178,36768,0,
49,0.98,0.07765812142748464,8132,0,
50,1.0,0.0842869910934906,35975,0,
51,1.02,0.08341900760648684,25503,0,
52,1.04,0.08063495569675479,27430,0,
53,1.06,0.07664283316460797,21184,0,
54,1.08,0.08422393894694695,31711,0,
55,1.1,0.07576162640642559,18360,0,
56,1.12,0.07925338872207756,30578,0,
57,1.14,0.07700388512443078,36428,0,
58,1.16,0.07899942465222175,1639,0,
59,1.18,0.07991965899233233,16879,0,
60,1.2,0.07530779828907674,11202,0,
61,1.22,0.07934379052764574,22707,0,
62,1.24,0.0821279691293397,14320,0,
63,1.26,0.0735075216634324,4140,0,
64,1.28,0.0788848234537711,23967,0,
65,1.3,0.08494664734439206,19182,0,
66,1.32,0.08368814287535667,10586,0,
67,1.34,0.07437468121087214,10903,0,
68,1.36,0.0761899532210511,4598,0,
69,1.38,0.07839980069929324,14245,0,
70,1.4,0.07583916573880208,9466,0,
71,1.42,0.07881528956303212,28391,0,
72,1.44,0.07851940674549261,9377,0,
73,1.46,0.07754037515014942,22079,0,
74,1.48,0.08436633045123065,15217,0,
75,1.5,0.08011128666284088,21211,0,
76,1.52,0.07919947756669712,31233,0,
77,1.54,0.08150763699327883,15205,0,
78,1.56,0.08370408815118326,27353,0,
79,1.58,0.08086176906037924,2287,0,
80,1.6,0.08299826318323161,23773,0,
81,1.62,0.08485678638006156,17834,0,
82,1.64,0.0784292328036087,22093,0,
83,1.66,0.073625463211805,25931,0,
84,1.68,0.07751075637595407,35364,0,
85,1.7,0.07724602075993091,3058,0,
86,1.72,0.07603727066710902,21108,0,
87,1.74,0.07783507567115028,5709,0,
88,1.76,0.0734924648954182,31439,0,
89,1.78,0.0756584303223833,14274,0,
90,1.8,0.08421830542537484,21008,0,
91,1.82,0.07649833462334715,28610,0,
92,1.84,0.08185859033457726,29986,0,
93,1.86,0.08007944247981742,4299,0,
94,1.88,0.08574302981096266,19842,0,
95,1.9,0.0881412917856665,33166,0,
96,1.92,0.07596684295145117,18371,0,
97,1.94,0.07857872282710898,1114,0,
98,1.96,0.07645053940669454,17722,0,
99,1.98,0.08088348001524662,6346,0,
100,2.0,0.08322448620171331,11029,0,
101,2.02,0.08818287690904857,29091,0,
102,2.04,0.0759616896949503,30514,0,
103,2.06,0.07655224981078933,24785,0,
104,2.08,0.07630300069651666,37796,0,
105,2.1,0.07261325895632006,15616,0,
106,2.12,0.07666471439682064,33029,0,
107,2.14,0.07904539165980135,21811,0,
108,2.16,0.08019256105783432,5870,0,
109,2.18,0.07378354496696417,4333,0,
110,2.2,0.0793860831924359,9403,0,
111,2.22,0.08282847744050297,12317,0,
112,2.24,0.08404657698445255,36363,0,
113,2.26,0.08579345255060188,14399,0,
114,2.28,0.07311177239963947,32771,0,
115,2.3,0.08221159819238132,5504,0,
116,2.32,0.08456141187735249,3081,0,
117,2.34,0.07686531168554406,35324,0,
118,2.36,0.08098941957480404,7908,0,
119,2.38,0.08103186294467775,932,0,
120,2.4,0.07465541625691677,7766,0,
121,2.42,0.08717726999364683,17142,0,
122,2.44,0.08285364461947772,12602,0,
123,2.46,0.0752961064229396,20292,0,
124,2.48,0.08266053844473402,14839,0,
125,2.5,0.07945409097790412,15511,0,
126,2.52,0.07844003390588442,3423,0,
127,2.54,0.08281827463538398,30873,0,
128,2.56,0.08045089249895383,19993,0,
129,2.58,0.07609733615681241,2832,0,
130,2.6,0.08991557883326647,24104,0,
131,2.62,0.08045737256600125,2037,0,
132,2.64,0.07647357387847167,37458,0,
133,2.66,0.0749229158555426,34130,0,
134,2.68,0.08299436568367008,31703,0,
135,2.7,0.07675305231680526,4862,0,
136,2.72,0.08569749688603003,7226,0,
137,2.74,0.0757049909590683,18468,0,
138,2.76,0.0817016250421161,2416,0,
139,2.78,0.0907935054839729,2121,0,
140,2.8,0.08068017384109488,37942,0,
141,2.82,0.08037754536877953,913,0,
142,2.84,0.08347111836014734,11090,0,
143,2.86,0.07667805032986233,34437,0,
144,2.88,0.08381328677921661,2583,0,
145,2.9,0.07771523438709359,10328,0,
146,2.92,0.08057981603134132,3642,0,
147,2.94,0.07670805168664796,1695,0,
148,2.96,0.07888389043542722,21426,0,
149,2.98,0.08988265256559895,3987,0,
150,3.0,0.09204825892236888,2279,0,
151,3.02,0.07665936004828526,7572,0,
152,3.04,0.07759280785854696,13903,0,
153,3.06,0.0819780631321129,24322,0,
154,3.08,0.07897739603097015,32355,0,
155,3.1,0.07790891485886364,30153,0,
156,3.12,0.08056875629997627,4371,0,
157,3.14,0.08203787482983384,34073,0,
158,3.16,0.08137447359798157,17055,0,
159,3.18,0.08696070990282447,15648,0,
160,3.2,0.08254130097108706,25599,0,
161,3.22,0.08418978330131195,12807,0,
162,3.24,0.08322629437372449,24483,0,
163,3.26,0.08505737347796084,7145,0,
164,3.28,0.07853228317169668,28045,0,
165,3.3,0.08366675107678452,29235,0,
166,3.32,0.0746153742280758,35457,0,
167,3.34,0.0857072105166296,31878,0,
168,3.36,0.08361198560353873,15827,0,
169,3.38,0.07535910325855452,31708,0,
170,3.4,0.07599417852292803,22674,0,
171,3.42,0.08140233375212023,17507,0,
172,3.44,0.075419831634809,739,0,
173,3.46,0.08183597549191651,24178,0,
174,3.48,0.07764413477138073,27997,0,
175,3.5,0.08250834266562274,12766,0,
176,3.52,0.07452608905471846,37221,0,
177,3.54,0.08473994442653915,11444,0,
178,3.56,0.07834556663413096,27872,0,
179,3.58,0.0747386149889824,28378,0,
180,3.6,0.08086886221071558,31066,0,
181,3.62,0.08800651890173057,2152,0,
182,3.64,0.08221069496636377,2444,0,
183,3.66,0.07775213156832009,28340,0,
184,3.68,0.08369961224110448,3586,0,
185,3.7,0.08166777821462698,37444,0,
186,3.72,0.08011305642792863,31474,0,
187,3.74,0.0794284708559343,33799,0,
188,3.76,0.07972977327237747,6042,0,
189,3.78,0.08356551827499004,8713,0,
190,3.8,0.0768550858454568,15192,0,
191,3.82,0.08550111567772845,2315,0,
192,3.84,0.08248311682410021,22964,0,
193,3.86,0.07921607842046788,31215,0,
194,3.88,0.07459539789874678,11775,0,
195,3.9,0.08414010718844323,12062,0,
196,3.92,0.08177081375944695,36509,0,
197,3.94,0.08183394696417576,5050,0,
198,3.96,0.0819732683252684,25219,0,
199,3.98,0.08486071386448683,5759,0,
200,4.0,0.08335609326922955,1990,0,
201,4.02,0.07506801284372498,6072,0,
202,4.04,0.08029131976488042,8649,0,
203,4.06,0.07656206802168221,29446,0,
204,4.08,0.08160273985552968,18536,0,
205,4.1,0.07818821829478406,19086,0,
206,4.12,0.07611458004988932,19811,0,
207,4.14,0.08581057928592285,34951,0,
208,4.16,0.07437583310218421,24977,0,
209,4.18,0.07422741019337123,4800,0,
210,4.2,0.08105698519486333,24652,0,
211,4.22,0.08015019681377958,20512,0,
212,4.24,0.09046768861697342,32339,0,
213,4.26,0.07902706137523881,3636,0,
214,4.28,0.08806585031483487,17156,0,
215,4.3,0.07498598908960202,22176,0,
216,4.32,0.0796397602400029,19590,0,
217,4.34,0.07509566556333919,29331,0,
218,4.36,0.07989321042289918,26786,0,
219,4.38,0.08408044213413329,16485,0,
220,4.4,0.08686641307053633,3328,0,
221,4.42,0.0821085733924395,26151,0,
222,4.44,0.07623297900681927,15126,0,
223,4.46,0.0781810762893027,4262,0,
224,4.48,0.07652875422493602,17029,0,
225,4.5,0.08688025803935633,7819,0,
226,4.52,0.0758866001524165,5072,0,
227,4.54,0.08223383559189504,10402,0,
228,4.56,0.08073382822906466,11246,0,
229,4.58,0.074497470097405,16936,0,
230,4.6,0.08392300977265271,4841,0,
231,4.62,0.08447965206684657,9577,0,
232,4.64,0.07649156506345262,11201,0,
233,4.66,0.07919523644456296,4789,0,
234,4.68,0.08021154705210604,5931,0,
235,4.7,0.07970535495481565,25534,0,
236,4.72,0.08692648097988921,17866,0,
237,4.74,0.07530733793078417,36626,0,
238,4.76,0.07755246181413021,35432,0,
239,4.78,0.0828743149103526,25055,0,
240,4.8,0.07359283809119965,11379,0,
241,4.82,0.07672954751323337,32567,0,
242,4.84,0.07879805259986954,18216,0,
243,4.86,0.0830770515020701,27804,0,
244,4.88,0.07610060441962889,5030,0,
245,4.9,0.07686335947313215,17858,0,
246,4.92,0.0760403846255847,30450,0,
247,4.94,0.0734286514249622,35350,0,
248,4.96,0.08730239391026404,14750,0,
249,4.98,0.08006613381196825,28485,0,
