label_id,position_key,corridor_id,location_id,packet_count
0,0_33,0,33,20
1,0_34,0,34,20
2,0_35,0,35,20
3,0_36,0,36,20
4,0_37,0,37,21
5,0_38,0,38,21
6,0_39,0,39,20
7,0_40,0,40,20
8,0_42,0,42,19
9,0_43,0,43,20
10,0_44,0,44,20
11,0_45,0,45,20
12,0_48,0,48,19
13,0_50,0,50,19
14,1_16,1,16,21
15,1_17,1,17,20
16,1_18,1,18,21
17,1_19,1,19,21
18,1_20,1,20,20
19,1_21,1,21,19
20,1_22,1,22,21
21,1_23,1,23,21
22,1_24,1,24,21
23,1_25,1,25,21
24,1_26,1,26,20
25,1_27,1,27,20
26,1_28,1,28,20
27,1_29,1,29,20
28,1_30,1,30,21
29,1_31,1,31,21
30,1_32,1,32,21
31,2_15,2,15,21
