split,position_key,source_file_stem,source_packet_index
train,0_33,2_0_33_11_2_16,10
train,0_33,2_0_33_11_2_16,7
train,0_33,2_0_33_11_2_16,19
train,0_33,2_0_33_11_2_16,4
train,0_33,2_0_33_11_2_16,5
train,0_33,2_0_33_11_2_16,8
train,0_33,2_0_33_11_2_16,9
train,0_33,2_0_33_11_2_16,11
train,0_33,2_0_33_11_2_16,16
train,0_33,2_0_33_11_2_16,13
train,0_33,2_0_33_11_2_16,15
train,0_33,2_0_33_11_2_16,1
val,0_33,2_0_33_11_2_16,6
val,0_33,2_0_33_11_2_16,12
val,0_33,2_0_33_11_2_16,14
val,0_33,2_0_33_11_2_16,2
test,0_33,2_0_33_11_2_16,17
test,0_33,2_0_33_11_2_16,0
test,0_33,2_0_33_11_2_16,3
test,0_33,2_0_33_11_2_16,18
train,0_34,2_0_34_11_2_16,3
train,0_34,2_0_34_11_2_16,7
train,0_34,2_0_34_11_2_16,0
train,0_34,2_0_34_11_2_16,6
train,0_34,2_0_34_11_2_16,5
train,0_34,2_0_34_11_2_16,1
train,0_34,2_0_34_11_2_16,10
val,0_34,2_0_34_11_2_16,4
val,0_34,2_0_34_11_2_16,8
test,0_34,2_0_34_11_2_16,9
test,0_34,2_0_34_11_2_16,2
train,0_35,2_0_35_11_2_16,0
train,0_35,2_0_35_11_2_16,16
train,0_35,2_0_35_11_2_16,10
train,0_35,2_0_35_11_2_16,8
train,0_35,2_0_35_11_2_16,2
train,0_35,2_0_35_11_2_16,3
train,0_35,2_0_35_11_2_16,7
train,0_35,2_0_35_11_2_16,14
train,0_35,2_0_35_11_2_16,11
train,0_35,2_0_35_11_2_16,12
val,0_35,2_0_35_11_2_16,4
val,0_35,2_0_35_11_2_16,13
val,0_35,2_0_35_11_2_16,15
test,0_35,2_0_35_11_2_16,5
test,0_35,2_0_35_11_2_16,9
test,0_35,2_0_35_11_2_16,6
test,0_35,2_0_35_11_2_16,1
train,0_36,2_0_36_11_2_16,7
train,0_36,2_0_36_11_2_16,11
train,0_36,2_0_36_11_2_16,4
train,0_36,2_0_36_11_2_16,14
train,0_36,2_0_36_11_2_16,5
train,0_36,2_0_36_11_2_16,10
train,0_36,2_0_36_11_2_16,9
train,0_36,2_0_36_11_2_16,0
train,0_36,2_0_36_11_2_16,8
train,0_36,2_0_36_11_2_16,12
val,0_36,2_0_36_11_2_16,3
val,0_36,2_0_36_11_2_16,15
val,0_36,2_0_36_11_2_16,1
test,0_36,2_0_36_11_2_16,13
test,0_36,2_0_36_11_2_16,2
test,0_36,2_0_36_11_2_16,6
train,0_37,2_0_37_11_2_16,7
train,0_37,2_0_37_11_2_16,2
train,0_37,2_0_37_11_2_16,12
train,0_37,2_0_37_11_2_16,0
train,0_37,2_0_37_11_2_16,6
train,0_37,2_0_37_11_2_16,3
train,0_37,2_0_37_11_2_16,5
train,0_37,2_0_37_11_2_16,1
val,0_37,2_0_37_11_2_16,11
val,0_37,2_0_37_11_2_16,10
val,0_37,2_0_37_11_2_16,8
test,0_37,2_0_37_11_2_16,9
test,0_37,2_0_37_11_2_16,4
train,0_38,2_0_38_11_2_16,3
train,0_38,2_0_38_11_2_16,1
train,0_38,2_0_38_11_2_16,5
train,0_38,2_0_38_11_2_16,6
train,0_38,2_0_38_11_2_16,7
val,0_38,2_0_38_11_2_16,8
val,0_38,2_0_38_11_2_16,2
test,0_38,2_0_38_11_2_16,4
test,0_38,2_0_38_11_2_16,0
train,0_39,2_0_39_11_2_16,1
test,0_39,2_0_39_11_2_16,0
train,0_40,2_0_40_11_2_16,7
train,0_40,2_0_40_11_2_16,6
train,0_40,2_0_40_11_2_16,0
train,0_40,2_0_40_11_2_16,5
train,0_40,2_0_40_11_2_16,4
train,0_40,2_0_40_11_2_16,9
val,0_40,2_0_40_11_2_16,2
val,0_40,2_0_40_11_2_16,8
test,0_40,2_0_40_11_2_16,3
test,0_40,2_0_40_11_2_16,1
train,0_42,2_0_42_11_2_16,9
train,0_42,2_0_42_11_2_16,3
train,0_42,2_0_42_11_2_16,7
train,0_42,2_0_42_11_2_16,5
train,0_42,2_0_42_11_2_16,2
train,0_42,2_0_42_11_2_16,8
train,0_42,2_0_42_11_2_16,1
val,0_42,2_0_42_11_2_16,4
val,0_42,2_0_42_11_2_16,6
test,0_42,2_0_42_11_2_16,0
test,0_42,2_0_42_11_2_16,10
train,0_43,2_0_43_11_2_16,6
train,0_43,2_0_43_11_2_16,0
train,0_43,2_0_43_11_2_16,11
train,0_43,2_0_43_11_2_16,15
train,0_43,2_0_43_11_2_16,3
train,0_43,2_0_43_11_2_16,13
train,0_43,2_0_43_11_2_16,8
train,0_43,2_0_43_11_2_16,4
train,0_43,2_0_43_11_2_16,7
train,0_43,2_0_43_11_2_16,14
train,0_43,2_0_43_11_2_16,17
train,0_43,2_0_43_11_2_16,9
val,0_43,2_0_43_11_2_16,16
val,0_43,2_0_43_11_2_16,2
val,0_43,2_0_43_11_2_16,19
val,0_43,2_0_43_11_2_16,18
test,0_43,2_0_43_11_2_16,5
test,0_43,2_0_43_11_2_16,12
test,0_43,2_0_43_11_2_16,1
test,0_43,2_0_43_11_2_16,10
train,0_44,2_0_44_11_2_16,3
train,0_44,2_0_44_11_2_16,8
train,0_44,2_0_44_11_2_16,6
train,0_44,2_0_44_11_2_16,4
train,0_44,2_0_44_11_2_16,9
train,0_44,2_0_44_11_2_16,2
val,0_44,2_0_44_11_2_16,1
val,0_44,2_0_44_11_2_16,7
test,0_44,2_0_44_11_2_16,5
test,0_44,2_0_44_11_2_16,0
train,0_45,2_0_45_11_2_16,2
train,0_45,2_0_45_11_2_16,1
train,0_45,2_0_45_11_2_16,4
val,0_45,2_0_45_11_2_16,3
test,0_45,2_0_45_11_2_16,0
train,0_48,2_0_48_11_2_16,4
train,0_48,2_0_48_11_2_16,1
train,0_48,2_0_48_11_2_16,8
train,0_48,2_0_48_11_2_16,5
train,0_48,2_0_48_11_2_16,3
val,0_48,2_0_48_11_2_16,0
val,0_48,2_0_48_11_2_16,6
test,0_48,2_0_48_11_2_16,7
test,0_48,2_0_48_11_2_16,2
train,0_50,2_0_50_11_2_16,0
train,1_16,2_1_16_11_2_16,14
train,1_16,2_1_16_11_2_16,3
train,1_16,2_1_16_11_2_16,6
train,1_16,2_1_16_11_2_16,11
train,1_16,2_1_16_11_2_16,2
train,1_16,2_1_16_11_2_16,9
train,1_16,2_1_16_11_2_16,10
train,1_16,2_1_16_11_2_16,0
train,1_16,2_1_16_11_2_16,8
val,1_16,2_1_16_11_2_16,13
val,1_16,2_1_16_11_2_16,1
val,1_16,2_1_16_11_2_16,5
test,1_16,2_1_16_11_2_16,12
test,1_16,2_1_16_11_2_16,7
test,1_16,2_1_16_11_2_16,4
train,1_17,2_1_17_11_2_16,0
train,1_18,2_1_18_11_2_16,1
train,1_18,2_1_18_11_2_16,8
train,1_18,2_1_18_11_2_16,9
train,1_18,2_1_18_11_2_16,11
train,1_18,2_1_18_11_2_16,2
train,1_18,2_1_18_11_2_16,6
train,1_18,2_1_18_11_2_16,7
train,1_18,2_1_18_11_2_16,12
val,1_18,2_1_18_11_2_16,0
val,1_18,2_1_18_11_2_16,5
val,1_18,2_1_18_11_2_16,3
test,1_18,2_1_18_11_2_16,4
test,1_18,2_1_18_11_2_16,10
train,1_19,2_1_19_11_2_16,0
train,1_19,2_1_19_11_2_16,14
train,1_19,2_1_19_11_2_16,18
train,1_19,2_1_19_11_2_16,1
train,1_19,2_1_19_11_2_16,16
train,1_19,2_1_19_11_2_16,8
train,1_19,2_1_19_11_2_16,3
train,1_19,2_1_19_11_2_16,17
train,1_19,2_1_19_11_2_16,5
train,1_19,2_1_19_11_2_16,15
train,1_19,2_1_19_11_2_16,12
val,1_19,2_1_19_11_2_16,7
val,1_19,2_1_19_11_2_16,13
val,1_19,2_1_19_11_2_16,9
val,1_19,2_1_19_11_2_16,11
test,1_19,2_1_19_11_2_16,6
test,1_19,2_1_19_11_2_16,4
test,1_19,2_1_19_11_2_16,2
test,1_19,2_1_19_11_2_16,10
train,1_20,2_1_20_11_2_16,7
train,1_20,2_1_20_11_2_16,4
train,1_20,2_1_20_11_2_16,0
train,1_20,2_1_20_11_2_16,2
train,1_20,2_1_20_11_2_16,8
train,1_20,2_1_20_11_2_16,10
train,1_20,2_1_20_11_2_16,5
val,1_20,2_1_20_11_2_16,3
val,1_20,2_1_20_11_2_16,1
test,1_20,2_1_20_11_2_16,11
test,1_20,2_1_20_11_2_16,9
test,1_20,2_1_20_11_2_16,6
train,1_21,2_1_21_11_2_16,14
train,1_21,2_1_21_11_2_16,0
train,1_21,2_1_21_11_2_16,12
train,1_21,2_1_21_11_2_16,2
train,1_21,2_1_21_11_2_16,4
train,1_21,2_1_21_11_2_16,13
train,1_21,2_1_21_11_2_16,5
train,1_21,2_1_21_11_2_16,7
train,1_21,2_1_21_11_2_16,1
val,1_21,2_1_21_11_2_16,6
val,1_21,2_1_21_11_2_16,10
val,1_21,2_1_21_11_2_16,3
test,1_21,2_1_21_11_2_16,9
test,1_21,2_1_21_11_2_16,11
test,1_21,2_1_21_11_2_16,8
train,1_22,2_1_22_11_2_16,8
train,1_22,2_1_22_11_2_16,7
train,1_22,2_1_22_11_2_16,2
train,1_22,2_1_22_11_2_16,5
train,1_22,2_1_22_11_2_16,0
train,1_22,2_1_22_11_2_16,1
train,1_22,2_1_22_11_2_16,9
val,1_22,2_1_22_11_2_16,4
val,1_22,2_1_22_11_2_16,3
test,1_22,2_1_22_11_2_16,10
test,1_22,2_1_22_11_2_16,6
train,1_23,2_1_23_11_2_16,9
train,1_23,2_1_23_11_2_16,2
train,1_23,2_1_23_11_2_16,13
train,1_23,2_1_23_11_2_16,8
train,1_23,2_1_23_11_2_16,12
train,1_23,2_1_23_11_2_16,5
train,1_23,2_1_23_11_2_16,10
train,1_23,2_1_23_11_2_16,6
train,1_23,2_1_23_11_2_16,14
train,1_23,2_1_23_11_2_16,1
val,1_23,2_1_23_11_2_16,16
val,1_23,2_1_23_11_2_16,4
val,1_23,2_1_23_11_2_16,15
test,1_23,2_1_23_11_2_16,7
test,1_23,2_1_23_11_2_16,0
test,1_23,2_1_23_11_2_16,3
test,1_23,2_1_23_11_2_16,11
train,1_24,2_1_24_11_2_16,9
train,1_24,2_1_24_11_2_16,12
train,1_24,2_1_24_11_2_16,1
train,1_24,2_1_24_11_2_16,10
train,1_24,2_1_24_11_2_16,14
train,1_24,2_1_24_11_2_16,8
train,1_24,2_1_24_11_2_16,2
train,1_24,2_1_24_11_2_16,11
train,1_24,2_1_24_11_2_16,13
val,1_24,2_1_24_11_2_16,4
val,1_24,2_1_24_11_2_16,5
val,1_24,2_1_24_11_2_16,0
test,1_24,2_1_24_11_2_16,3
test,1_24,2_1_24_11_2_16,7
test,1_24,2_1_24_11_2_16,6
train,1_25,2_1_25_11_2_16,10
train,1_25,2_1_25_11_2_16,3
train,1_25,2_1_25_11_2_16,9
train,1_25,2_1_25_11_2_16,11
train,1_25,2_1_25_11_2_16,1
train,1_25,2_1_25_11_2_16,12
train,1_25,2_1_25_11_2_16,0
train,1_25,2_1_25_11_2_16,13
train,1_25,2_1_25_11_2_16,7
val,1_25,2_1_25_11_2_16,2
val,1_25,2_1_25_11_2_16,5
val,1_25,2_1_25_11_2_16,14
test,1_25,2_1_25_11_2_16,6
test,1_25,2_1_25_11_2_16,4
test,1_25,2_1_25_11_2_16,8
train,1_26,2_1_26_11_2_16,3
train,1_26,2_1_26_11_2_16,0
train,1_26,2_1_26_11_2_16,1
val,1_26,2_1_26_11_2_16,2
test,1_26,2_1_26_11_2_16,4
train,1_27,2_1_27_11_2_16,7
train,1_27,2_1_27_11_2_16,6
train,1_27,2_1_27_11_2_16,5
train,1_27,2_1_27_11_2_16,0
train,1_27,2_1_27_11_2_16,4
val,1_27,2_1_27_11_2_16,1
val,1_27,2_1_27_11_2_16,3
test,1_27,2_1_27_11_2_16,2
train,1_28,2_1_28_11_2_16,5
train,1_28,2_1_28_11_2_16,7
train,1_28,2_1_28_11_2_16,13
train,1_28,2_1_28_11_2_16,4
train,1_28,2_1_28_11_2_16,14
train,1_28,2_1_28_11_2_16,3
train,1_28,2_1_28_11_2_16,1
train,1_28,2_1_28_11_2_16,12
train,1_28,2_1_28_11_2_16,10
val,1_28,2_1_28_11_2_16,2
val,1_28,2_1_28_11_2_16,8
val,1_28,2_1_28_11_2_16,0
test,1_28,2_1_28_11_2_16,6
test,1_28,2_1_28_11_2_16,9
test,1_28,2_1_28_11_2_16,11
train,1_29,2_1_29_11_2_16,3
train,1_29,2_1_29_11_2_16,8
train,1_29,2_1_29_11_2_16,1
train,1_29,2_1_29_11_2_16,10
train,1_29,2_1_29_11_2_16,2
train,1_29,2_1_29_11_2_16,7
train,1_29,2_1_29_11_2_16,4
train,1_29,2_1_29_11_2_16,6
train,1_29,2_1_29_11_2_16,5
val,1_29,2_1_29_11_2_16,0
val,1_29,2_1_29_11_2_16,14
val,1_29,2_1_29_11_2_16,11
test,1_29,2_1_29_11_2_16,13
test,1_29,2_1_29_11_2_16,9
test,1_29,2_1_29_11_2_16,12
train,1_30,2_1_30_11_2_16,8
train,1_30,2_1_30_11_2_16,16
train,1_30,2_1_30_11_2_16,15
train,1_30,2_1_30_11_2_16,10
train,1_30,2_1_30_11_2_16,3
train,1_30,2_1_30_11_2_16,17
train,1_30,2_1_30_11_2_16,2
train,1_30,2_1_30_11_2_16,13
train,1_30,2_1_30_11_2_16,7
train,1_30,2_1_30_11_2_16,5
train,1_30,2_1_30_11_2_16,12
val,1_30,2_1_30_11_2_16,6
val,1_30,2_1_30_11_2_16,0
val,1_30,2_1_30_11_2_16,9
val,1_30,2_1_30_11_2_16,1
test,1_30,2_1_30_11_2_16,14
test,1_30,2_1_30_11_2_16,11
test,1_30,2_1_30_11_2_16,4
train,1_31,2_1_31_11_2_16,4
train,1_31,2_1_31_11_2_16,0
train,1_31,2_1_31_11_2_16,2
val,1_31,2_1_31_11_2_16,3
test,1_31,2_1_31_11_2_16,1
train,1_32,2_1_32_11_2_16,1
train,1_32,2_1_32_11_2_16,0
train,1_32,2_1_32_11_2_16,2
train,1_32,2_1_32_11_2_16,4
val,1_32,2_1_32_11_2_16,6
test,1_32,2_1_32_11_2_16,3
test,1_32,2_1_32_11_2_16,5
train,2_15,2_2_15_11_2_16,9
