split,position_key,file_stem,packet_index,source_file_stem,source_packet_index,augmentation_id
train,0_33,2_0_33_11_2_16_aug00,1,2_0_33_11_2_16,1,0
train,0_33,2_0_33_11_2_16_aug01,1,2_0_33_11_2_16,1,1
train,0_33,2_0_33_11_2_16_aug02,1,2_0_33_11_2_16,1,2
train,0_33,2_0_33_11_2_16_aug03,1,2_0_33_11_2_16,1,3
train,0_33,2_0_33_11_2_16_aug04,1,2_0_33_11_2_16,1,4
train,0_33,2_0_33_11_2_16_aug05,1,2_0_33_11_2_16,1,5
train,0_33,2_0_33_11_2_16_aug06,1,2_0_33_11_2_16,1,6
train,0_33,2_0_33_11_2_16_aug07,1,2_0_33_11_2_16,1,7
train,0_33,2_0_33_11_2_16_aug08,1,2_0_33_11_2_16,1,8
train,0_33,2_0_33_11_2_16_aug09,1,2_0_33_11_2_16,1,9
train,0_33,2_0_33_11_2_16_aug00,2,2_0_33_11_2_16,2,0
train,0_33,2_0_33_11_2_16_aug01,2,2_0_33_11_2_16,2,1
train,0_33,2_0_33_11_2_16_aug02,2,2_0_33_11_2_16,2,2
train,0_33,2_0_33_11_2_16_aug03,2,2_0_33_11_2_16,2,3
train,0_33,2_0_33_11_2_16_aug04,2,2_0_33_11_2_16,2,4
train,0_33,2_0_33_11_2_16_aug05,2,2_0_33_11_2_16,2,5
train,0_33,2_0_33_11_2_16_aug06,2,2_0_33_11_2_16,2,6
train,0_33,2_0_33_11_2_16_aug07,2,2_0_33_11_2_16,2,7
train,0_33,2_0_33_11_2_16_aug08,2,2_0_33_11_2_16,2,8
train,0_33,2_0_33_11_2_16_aug09,2,2_0_33_11_2_16,2,9
train,0_33,2_0_33_11_2_16_aug00,4,2_0_33_11_2_16,4,0
train,0_33,2_0_33_11_2_16_aug01,4,2_0_33_11_2_16,4,1
train,0_33,2_0_33_11_2_16_aug02,4,2_0_33_11_2_16,4,2
train,0_33,2_0_33_11_2_16_aug03,4,2_0_33_11_2_16,4,3
train,0_33,2_0_33_11_2_16_aug04,4,2_0_33_11_2_16,4,4
train,0_33,2_0_33_11_2_16_aug05,4,2_0_33_11_2_16,4,5
train,0_33,2_0_33_11_2_16_aug06,4,2_0_33_11_2_16,4,6
train,0_33,2_0_33_11_2_16_aug07,4,2_0_33_11_2_16,4,7
train,0_33,2_0_33_11_2_16_aug08,4,2_0_33_11_2_16,4,8
train,0_33,2_0_33_11_2_16_aug09,4,2_0_33_11_2_16,4,9
train,0_33,2_0_33_11_2_16_aug00,5,2_0_33_11_2_16,5,0
train,0_33,2_0_33_11_2_16_aug01,5,2_0_33_11_2_16,5,1
train,0_33,2_0_33_11_2_16_aug02,5,2_0_33_11_2_16,5,2
train,0_33,2_0_33_11_2_16_aug03,5,2_0_33_11_2_16,5,3
train,0_33,2_0_33_11_2_16_aug04,5,2_0_33_11_2_16,5,4
train,0_33,2_0_33_11_2_16_aug05,5,2_0_33_11_2_16,5,5
train,0_33,2_0_33_11_2_16_aug06,5,2_0_33_11_2_16,5,6
train,0_33,2_0_33_11_2_16_aug07,5,2_0_33_11_2_16,5,7
train,0_33,2_0_33_11_2_16_aug08,5,2_0_33_11_2_16,5,8
train,0_33,2_0_33_11_2_16_aug09,5,2_0_33_11_2_16,5,9
train,0_33,2_0_33_11_2_16_aug00,6,2_0_33_11_2_16,6,0
train,0_33,2_0_33_11_2_16_aug01,6,2_0_33_11_2_16,6,1
train,0_33,2_0_33_11_2_16_aug02,6,2_0_33_11_2_16,6,2
train,0_33,2_0_33_11_2_16_aug03,6,2_0_33_11_2_16,6,3
train,0_33,2_0_33_11_2_16_aug04,6,2_0_33_11_2_16,6,4
train,0_33,2_0_33_11_2_16_aug05,6,2_0_33_11_2_16,6,5
train,0_33,2_0_33_11_2_16_aug06,6,2_0_33_11_2_16,6,6
train,0_33,2_0_33_11_2_16_aug07,6,2_0_33_11_2_16,6,7
train,0_33,2_0_33_11_2_16_aug08,6,2_0_33_11_2_16,6,8
train,0_33,2_0_33_11_2_16_aug09,6,2_0_33_11_2_16,6,9
train,0_33,2_0_33_11_2_16_aug00,7,2_0_33_11_2_16,7,0
